Year,Units,Zeitreihe,Bundesland,GeoCode,Value
2023/1,Prozent,Hybrid Fiber Coax (HFC),Hamburg,code02,86.67
2023/2,Prozent,Hybrid Fiber Coax (HFC),Hamburg,code02,86.7
2024/1,Prozent,Hybrid Fiber Coax (HFC),Hamburg,code02,87.55
2022/1,Prozent,Hybrid Fiber Coax (HFC),Hessen,code06,56.13
2022/2,Prozent,Hybrid Fiber Coax (HFC),Hessen,code06,59.66
2023/1,Prozent,Hybrid Fiber Coax (HFC),Hessen,code06,60.58
2023/2,Prozent,Hybrid Fiber Coax (HFC),Hessen,code06,60.7
2024/1,Prozent,Hybrid Fiber Coax (HFC),Hessen,code06,61.08
2022/1,Prozent,Hybrid Fiber Coax (HFC),Mecklenburg-Vorpommern,code13,41.05
2022/2,Prozent,Hybrid Fiber Coax (HFC),Mecklenburg-Vorpommern,code13,42.55
2023/1,Prozent,Hybrid Fiber Coax (HFC),Mecklenburg-Vorpommern,code13,44.69
2023/2,Prozent,Hybrid Fiber Coax (HFC),Mecklenburg-Vorpommern,code13,45.87
2024/1,Prozent,Hybrid Fiber Coax (HFC),Mecklenburg-Vorpommern,code13,45.69
2022/1,Prozent,Hybrid Fiber Coax (HFC),Niedersachsen,code03,62.18
2022/2,Prozent,Hybrid Fiber Coax (HFC),Niedersachsen,code03,62.51
2023/1,Prozent,Hybrid Fiber Coax (HFC),Niedersachsen,code03,62.79
2023/2,Prozent,Hybrid Fiber Coax (HFC),Niedersachsen,code03,62.85
2024/1,Prozent,Hybrid Fiber Coax (HFC),Niedersachsen,code03,62.77
2022/1,Prozent,Hybrid Fiber Coax (HFC),Nordrhein-Westfalen,code05,63.98
2022/2,Prozent,Hybrid Fiber Coax (HFC),Nordrhein-Westfalen,code05,66.76
2023/1,Prozent,Hybrid Fiber Coax (HFC),Nordrhein-Westfalen,code05,67.44
2023/2,Prozent,Hybrid Fiber Coax (HFC),Nordrhein-Westfalen,code05,67.58
2024/1,Prozent,Hybrid Fiber Coax (HFC),Nordrhein-Westfalen,code05,67.64
2022/1,Prozent,Hybrid Fiber Coax (HFC),Rheinland-Pfalz,code07,54.47
2022/2,Prozent,Hybrid Fiber Coax (HFC),Rheinland-Pfalz,code07,54.5
2023/1,Prozent,Hybrid Fiber Coax (HFC),Rheinland-Pfalz,code07,55.72
2023/2,Prozent,Hybrid Fiber Coax (HFC),Rheinland-Pfalz,code07,55.89
2024/1,Prozent,Hybrid Fiber Coax (HFC),Rheinland-Pfalz,code07,57.41
2022/1,Prozent,Hybrid Fiber Coax (HFC),Saarland,code10,57.92
2022/2,Prozent,Hybrid Fiber Coax (HFC),Saarland,code10,58.98
2023/1,Prozent,Hybrid Fiber Coax (HFC),Saarland,code10,59.83
2023/2,Prozent,Hybrid Fiber Coax (HFC),Saarland,code10,59.94
2024/1,Prozent,Hybrid Fiber Coax (HFC),Saarland,code10,60.92
2022/1,Prozent,Hybrid Fiber Coax (HFC),Sachsen,code14,33.79
2022/2,Prozent,Hybrid Fiber Coax (HFC),Sachsen,code14,40.47
2023/1,Prozent,Hybrid Fiber Coax (HFC),Sachsen,code14,46.37
2023/2,Prozent,Hybrid Fiber Coax (HFC),Sachsen,code14,45.52
2024/1,Prozent,Hybrid Fiber Coax (HFC),Sachsen,code14,46.39
2022/1,Prozent,Hybrid Fiber Coax (HFC),Sachsen-Anhalt,code15,23.66
2022/2,Prozent,Hybrid Fiber Coax (HFC),Sachsen-Anhalt,code15,23.88
2023/1,Prozent,Hybrid Fiber Coax (HFC),Sachsen-Anhalt,code15,36.67
2023/2,Prozent,Hybrid Fiber Coax (HFC),Sachsen-Anhalt,code15,35.8
