Year,Units,Zeitreihe,Art der Fläche,Value
1999,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),87.0
2000,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),87.0
2001,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),70.0
2002,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),66.0
2003,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),45.0
2004,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),60.0
2005,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),35.0
2006,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),30.0
2007,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),40.0
2008,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),35.0
2009,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),28.0
2010,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),33.0
2011,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),30.0
2012,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),40.0
2013,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),29.0
2014,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),22.0
2015,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),40.0
2016,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),
2017,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),32.0
2018,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),32.0
2019,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),33.0
2020,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),40.0
2021,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),39.0
2022,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),37.0
2023,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),34.0
