Year,Units,time series,länder,GeoCode,Value
2024/2,percentage,hybrid fiber coax (hfc),hesse,code06,61.15
2025/1,percentage,hybrid fiber coax (hfc),hesse,code06,60.98
2022/1,percentage,hybrid fiber coax (hfc),mecklenburg western pomerania,code13,41.05
2022/2,percentage,hybrid fiber coax (hfc),mecklenburg western pomerania,code13,42.55
2023/1,percentage,hybrid fiber coax (hfc),mecklenburg western pomerania,code13,44.69
2023/2,percentage,hybrid fiber coax (hfc),mecklenburg western pomerania,code13,45.87
2024/1,percentage,hybrid fiber coax (hfc),mecklenburg western pomerania,code13,45.69
2024/2,percentage,hybrid fiber coax (hfc),mecklenburg western pomerania,code13,45.48
2025/1,percentage,hybrid fiber coax (hfc),mecklenburg western pomerania,code13,47.29
2022/1,percentage,hybrid fiber coax (hfc),lower saxony,code03,62.18
2022/2,percentage,hybrid fiber coax (hfc),lower saxony,code03,62.51
2023/1,percentage,hybrid fiber coax (hfc),lower saxony,code03,62.79
2023/2,percentage,hybrid fiber coax (hfc),lower saxony,code03,62.85
2024/1,percentage,hybrid fiber coax (hfc),lower saxony,code03,62.77
2024/2,percentage,hybrid fiber coax (hfc),lower saxony,code03,62.77
2025/1,percentage,hybrid fiber coax (hfc),lower saxony,code03,62.3
2022/1,percentage,hybrid fiber coax (hfc),north rhine-westphalia,code05,63.98
2022/2,percentage,hybrid fiber coax (hfc),north rhine-westphalia,code05,66.76
2023/1,percentage,hybrid fiber coax (hfc),north rhine-westphalia,code05,67.44
2023/2,percentage,hybrid fiber coax (hfc),north rhine-westphalia,code05,67.58
2024/1,percentage,hybrid fiber coax (hfc),north rhine-westphalia,code05,67.64
2024/2,percentage,hybrid fiber coax (hfc),north rhine-westphalia,code05,67.71
2025/1,percentage,hybrid fiber coax (hfc),north rhine-westphalia,code05,67.5
2022/1,percentage,hybrid fiber coax (hfc),rhineland palatinate,code07,54.47
2022/2,percentage,hybrid fiber coax (hfc),rhineland palatinate,code07,54.5
2023/1,percentage,hybrid fiber coax (hfc),rhineland palatinate,code07,55.72
2023/2,percentage,hybrid fiber coax (hfc),rhineland palatinate,code07,55.89
2024/1,percentage,hybrid fiber coax (hfc),rhineland palatinate,code07,57.41
2024/2,percentage,hybrid fiber coax (hfc),rhineland palatinate,code07,57.45
2025/1,percentage,hybrid fiber coax (hfc),rhineland palatinate,code07,56.89
2022/1,percentage,hybrid fiber coax (hfc),saarland,code10,57.92
2022/2,percentage,hybrid fiber coax (hfc),saarland,code10,58.98
2023/1,percentage,hybrid fiber coax (hfc),saarland,code10,59.83
2023/2,percentage,hybrid fiber coax (hfc),saarland,code10,59.94
2024/1,percentage,hybrid fiber coax (hfc),saarland,code10,60.92
2024/2,percentage,hybrid fiber coax (hfc),saarland,code10,60.92
2025/1,percentage,hybrid fiber coax (hfc),saarland,code10,60.72
2022/1,percentage,hybrid fiber coax (hfc),saxony,code14,33.79
2022/2,percentage,hybrid fiber coax (hfc),saxony,code14,40.47
2023/1,percentage,hybrid fiber coax (hfc),saxony,code14,46.37
2023/2,percentage,hybrid fiber coax (hfc),saxony,code14,45.52
2024/1,percentage,hybrid fiber coax (hfc),saxony,code14,46.39
2024/2,percentage,hybrid fiber coax (hfc),saxony,code14,46.89
2025/1,percentage,hybrid fiber coax (hfc),saxony,code14,46.71
2022/1,percentage,hybrid fiber coax (hfc),saxony-anhalt,code15,23.66
2022/2,percentage,hybrid fiber coax (hfc),saxony-anhalt,code15,23.88
2023/1,percentage,hybrid fiber coax (hfc),saxony-anhalt,code15,36.67
2023/2,percentage,hybrid fiber coax (hfc),saxony-anhalt,code15,35.8
2024/1,percentage,hybrid fiber coax (hfc),saxony-anhalt,code15,37.64
2024/2,percentage,hybrid fiber coax (hfc),saxony-anhalt,code15,37.61
2025/1,percentage,hybrid fiber coax (hfc),saxony-anhalt,code15,37.9
2022/1,percentage,hybrid fiber coax (hfc),schleswig-holstein,code01,66.61
2022/2,percentage,hybrid fiber coax (hfc),schleswig-holstein,code01,66.59
2023/1,percentage,hybrid fiber coax (hfc),schleswig-holstein,code01,66.7
2023/2,percentage,hybrid fiber coax (hfc),schleswig-holstein,code01,66.71
2024/1,percentage,hybrid fiber coax (hfc),schleswig-holstein,code01,66.15
2024/2,percentage,hybrid fiber coax (hfc),schleswig-holstein,code01,66.17
2025/1,percentage,hybrid fiber coax (hfc),schleswig-holstein,code01,65.71
2022/1,percentage,hybrid fiber coax (hfc),thuringia,code16,35.41
2022/2,percentage,hybrid fiber coax (hfc),thuringia,code16,35.11
2023/1,percentage,hybrid fiber coax (hfc),thuringia,code16,38.94
2023/2,percentage,hybrid fiber coax (hfc),thuringia,code16,39.78
2024/1,percentage,hybrid fiber coax (hfc),thuringia,code16,40.05
2024/2,percentage,hybrid fiber coax (hfc),thuringia,code16,40.64
2025/1,percentage,hybrid fiber coax (hfc),thuringia,code16,39.82
